instante;descricao
0;Sistema inicializado
0;Dados iniciais carregados
0;Simulacao inicializada
0;Velocidade da simulacao alterada
0;Saida do menu de gestao
0;Simulacao iniciada
1523;Simulacao pausada
1523;Velocidade da simulacao alterada
1523;Saida do menu de gestao
1523;Simulacao retomada
2453;Simulacao pausada
2453;Caixa colocada em encerramento manual
2453;Saida do menu de gestao
2453;Simulacao retomada
3255;Simulacao pausada
3255;Simulacao encerrada
3255;Saida do menu de gestao
0;Simulacao reinicializada
0;Simulacao iniciada
412;Simulacao pausada
412;Caixa colocada em encerramento manual
412;Saida do menu de gestao
412;Simulacao retomada
2052;Simulacao pausada
2052;Saida do programa
