instante;descricao
0;Sistema inicializado
0;Dados iniciais carregados
0;Simulacao preparada
0;Simulacao iniciada
3246;Simulacao pausada
3246;Saída do menu de gestão
3246;Mostrar Estatisticas Simulaçãoo
3246;Saída do menu de gestão
7206;Simulacao pausada
7206;Mostrar Estado Resumido Sistema
7206;Alterar Velocidade Simulação
7206;Alterar Velocidade Simulação
7272;Simulacao pausada
7272;Simulacao encerrada
0;Simulacao reinicializada
0;Simulacao iniciada
1594;Simulacao pausada
2564;Simulacao pausada
2564;Mostrar Estado Resumido Sistema
2564;Listar Todos os Clientes
2564;Listar Todos os Clientes
2564;Saída do menu de gestão
2564;Simulacao encerrada
0;Simulacao reinicializada
0;Simulacao iniciada
102;Simulacao pausada
102;Simulacao encerrada
102;Saida do programa
