instante;descricao
0;Sistema inicializado
0;Dados iniciais carregados
0;Simulacao preparada
0;Simulacao iniciada
162;Simulacao pausada
3434;Simulacao pausada
3434;Simulacao retomada
3544;Simulacao pausada
3544;Mostrar Estado Resumido Sistema
3544;Listar Clientes Comprando
3544;Listar Clientes em Caixa
3544;Saída do Menu Clientes
3544;Entrar Menu Clientes
3544;Saída do Menu Caixas
3544;Entrar Menu Caixas
3544;Mostrar Estatisticas Simulação
3544;Mostrar Relatório Memoria Simulação
3544;Saída do Menu Relatorios
3544;Entrar Menu Relatórios
3544;Saída do menu de gestão
3544;Simulacao encerrada
3544;Saida do programa
